race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.619 (0.4886-0.7377),0.1 (0.0457-0.1719),0.1199 (0.0488-0.2171),0.0325 (0.0131-0.0611),0.1286 (0.0603-0.2149),0.0159 (0.0116-0.0206)
OVAP,0.3762 (0.2615-0.4688),0.1564 (0.1096-0.2057),0.212 (0.1463-0.2746),0.0762 (0.054-0.1003),0.1791 (0.1208-0.2365),0.3128 (0.2538-0.3684)
