race,AG14D,AG14R,AG14Turnout
WVAP,0.2517 (0.226-0.2784),0.7483 (0.7216-0.774),0.3742 (0.3628-0.3867)
BVAP,0.5701 (0.2234-0.8461),0.4299 (0.1539-0.7766),0.5804 (0.3103-0.803)
HVAP,0.4816 (0.1782-0.7908),0.5184 (0.2092-0.8218),0.5621 (0.2977-0.8041)
OVAP,0.5326 (0.2061-0.8398),0.4674 (0.1602-0.7939),0.652 (0.3937-0.872)
