race,AG18D,AG18R,AG18Turnout
WVAP,0.2901 (0.2551-0.3246),0.7099 (0.6754-0.7449),0.4136 (0.3913-0.4347)
OVAP,0.6326 (0.3508-0.8504),0.3674 (0.1496-0.6492),0.5847 (0.3441-0.848)
