race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.111 (0.0846-0.1431),0.889 (0.8569-0.9154),0.4158 (0.397-0.4343)
OVAP,0.599 (0.3217-0.8585),0.401 (0.1415-0.6783),0.5198 (0.3033-0.7418)
