race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4953 (0.4849-0.5054),0.5047 (0.4946-0.5151),0.3532 (0.3466-0.3597)
BVAP,0.9473 (0.9372-0.9567),0.0527 (0.0433-0.0628),0.2298 (0.219-0.2413)
HVAP,0.6735 (0.5601-0.7902),0.3265 (0.2098-0.4399),0.0622 (0.0388-0.089)
OVAP,0.8352 (0.7834-0.8741),0.1648 (0.1259-0.2166),0.3094 (0.2562-0.3629)
