race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.387 (0.3732-0.4018),0.1206 (0.1128-0.128),0.1789 (0.1694-0.1887),0.116 (0.1079-0.1239),0.1975 (0.1843-0.2107),0.0574 (0.0557-0.0591)
OVAP,0.4694 (0.4553-0.4834),0.0762 (0.0695-0.0835),0.06 (0.0532-0.0674),0.0367 (0.0316-0.0426),0.3577 (0.3446-0.3712),0.1132 (0.11-0.1166)
