race,AG18D,AG18R,AG18Turnout
WVAP,0.4408 (0.4295-0.4516),0.5592 (0.5484-0.5705),0.3445 (0.3377-0.3515)
BVAP,0.9465 (0.9368-0.9555),0.0535 (0.0445-0.0632),0.2721 (0.2588-0.2847)
HVAP,0.799 (0.695-0.9024),0.201 (0.0976-0.305),0.121 (0.0824-0.1595)
OVAP,0.9292 (0.9124-0.9441),0.0708 (0.0559-0.0876),0.6145 (0.5604-0.6652)
