race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5687 (0.56-0.5779),0.4313 (0.4221-0.44),0.3591 (0.3524-0.3658)
BVAP,0.9471 (0.9372-0.956),0.0529 (0.044-0.0628),0.2671 (0.2546-0.2803)
HVAP,0.7317 (0.6324-0.8277),0.2683 (0.1723-0.3676),0.1184 (0.0848-0.1612)
OVAP,0.9052 (0.8825-0.9255),0.0948 (0.0745-0.1175),0.5195 (0.4632-0.5723)
