race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.4965 (0.4871-0.5059),0.5035 (0.4941-0.5129),0.3464 (0.3401-0.3527)
OVAP,0.961 (0.9544-0.9671),0.039 (0.0329-0.0456),0.2786 (0.2687-0.2881)
