race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4814 (0.4734-0.4897),0.5186 (0.5103-0.5266),0.3609 (0.3558-0.3666)
OVAP,0.9442 (0.9344-0.9536),0.0558 (0.0464-0.0656),0.209 (0.2011-0.217)
