race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8712 (0.857-0.8845),0.1288 (0.1155-0.143),0.1062 (0.1028-0.1096)
OVAP,0.3323 (0.3165-0.3478),0.6677 (0.6522-0.6835),0.1705 (0.1655-0.1753)
