race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.4038 (0.3939-0.4134),0.5962 (0.5866-0.6061),0.3851 (0.3788-0.3913)
OVAP,0.9641 (0.9579-0.9698),0.0359 (0.0302-0.0421),0.3003 (0.2908-0.3101)
