race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.6287 (0.615-0.6424),0.0474 (0.041-0.055),0.3239 (0.311-0.3373),0.0668 (0.065-0.0686)
OVAP,0.355 (0.3403-0.3693),0.339 (0.3275-0.35),0.306 (0.2925-0.3201),0.0895 (0.0871-0.0922)
