race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9648 (0.9586-0.9704),0.0352 (0.0296-0.0414),0.0405 (0.0385-0.0426)
BVAP,0.6941 (0.6805-0.7074),0.3059 (0.2926-0.3195),0.0809 (0.0779-0.0839)
HVAP,0.6093 (0.4767-0.7427),0.3907 (0.2573-0.5233),0.0115 (0.0076-0.0184)
OVAP,0.9081 (0.8846-0.9282),0.0919 (0.0718-0.1154),0.0776 (0.0594-0.0971)
