race,AG18D,AG18R,AG18Turnout
WVAP,0.4484 (0.4387-0.4581),0.5516 (0.5419-0.5613),0.3659 (0.3595-0.3724)
OVAP,0.9566 (0.949-0.9634),0.0434 (0.0366-0.051),0.2844 (0.2746-0.2942)
