race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.4603 (0.4523-0.468),0.5397 (0.532-0.5477),0.3728 (0.3675-0.3779)
OVAP,0.9799 (0.9761-0.9833),0.0201 (0.0167-0.0239),0.3454 (0.3374-0.3534)
