race,AG14D,AG14R,AG14Turnout
WVAP,0.4029 (0.3931-0.4123),0.5971 (0.5877-0.6069),0.3278 (0.3226-0.3329)
OVAP,0.9556 (0.9478-0.9625),0.0444 (0.0375-0.0522),0.2173 (0.2095-0.2255)
