race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4146 (0.4072-0.422),0.5854 (0.578-0.5928),0.4843 (0.4785-0.4903)
OVAP,0.9785 (0.9745-0.9823),0.0215 (0.0177-0.0255),0.4021 (0.3923-0.4115)
