race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.4032 (0.3932-0.4127),0.5968 (0.5873-0.6068),0.4019 (0.3957-0.4084)
OVAP,0.9598 (0.9529-0.9661),0.0402 (0.0339-0.0471),0.2901 (0.2802-0.3)
