race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9652 (0.9588-0.9707),0.0348 (0.0293-0.0412),0.0396 (0.0381-0.041)
OVAP,0.7478 (0.7392-0.7567),0.2522 (0.2433-0.2608),0.0697 (0.0676-0.0718)
