race,AG14D,AG14R,AG14Turnout
WVAP,0.4059 (0.3948-0.4175),0.5941 (0.5825-0.6052),0.3174 (0.3113-0.3239)
BVAP,0.9523 (0.9431-0.9604),0.0477 (0.0396-0.0569),0.2284 (0.2176-0.2395)
HVAP,0.721 (0.5412-0.8406),0.279 (0.1594-0.4588),0.0483 (0.0257-0.0722)
OVAP,0.903 (0.8781-0.9234),0.097 (0.0766-0.1219),0.3855 (0.3289-0.436)
