race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5617 (0.554-0.5694),0.4383 (0.4306-0.446),0.3765 (0.3708-0.3822)
OVAP,0.952 (0.9435-0.9597),0.048 (0.0403-0.0565),0.2671 (0.2577-0.2765)
