race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2566 (0.2461-0.2665),0.7434 (0.7335-0.7539),0.3468 (0.3418-0.3517)
OVAP,0.9507 (0.9423-0.9583),0.0493 (0.0417-0.0577),0.2291 (0.221-0.2372)
