race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1944 (0.1838-0.205),0.8056 (0.795-0.8162),0.3774 (0.3713-0.3834)
OVAP,0.857 (0.8426-0.8708),0.143 (0.1292-0.1574),0.2827 (0.2743-0.2912)
