race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.2452 (0.2309-0.2593),0.3989 (0.3863-0.4117),0.3559 (0.3436-0.3688),0.0644 (0.0627-0.0661)
OVAP,0.7213 (0.7066-0.7363),0.1501 (0.1382-0.1626),0.1285 (0.1169-0.1408),0.0975 (0.0945-0.1004)
