,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
26,Cecil,2554,Cecil Precinct 05-004,2220,192,64,43,17,64,78,2554,1,0.8692247454972593,0.07517619420516837,0.025058731401722788,0.030540328895849646,2430,0.016836335160532498,0.006656225528582615,0.025058731401722788,0.9514487079091621
27,Cecil,4984,Cecil Precinct 05-001,4641,146,92,56,30,70,105,4984,1,0.9311797752808989,0.029293739967897272,0.018459069020866775,0.021067415730337078,4828,0.011235955056179775,0.006019261637239166,0.014044943820224719,0.9686998394863563
28,Cecil,7016,Cecil Precinct 03-002,6111,537,214,31,12,38,154,7016,1,0.8710091220068416,0.07653933865450399,0.03050171037628278,0.02194982896237172,6935,0.004418472063854048,0.0017103762827822121,0.005416191562143672,0.98845496009122
29,Cecil,6045,Cecil Precinct 03-003,4995,536,290,79,35,91,224,6045,1,0.826302729528536,0.08866832092638545,0.04797353184449959,0.03705541770057899,5840,0.013068651778329199,0.005789909015715467,0.015053763440860216,0.9660876757650951
30,Cecil,4668,Cecil Precinct 04-001,4445,68,88,104,37,128,67,4668,1,0.9522279348757497,0.01456726649528706,0.018851756640959727,0.014353041988003428,4399,0.022279348757497857,0.007926306769494431,0.027420736932305057,0.9423736075407027
31,Cecil,6876,Cecil Precinct 03-001,5322,838,356,90,37,122,360,6876,1,0.7739965095986039,0.12187318208260617,0.051774287376381616,0.05235602094240838,6627,0.013089005235602094,0.005381035485747527,0.017742873763816173,0.9637870855148342
32,Cecil,1863,Cecil Precinct 04-002,1152,471,127,50,25,43,113,1863,1,0.6183574879227053,0.2528180354267311,0.06816961889425657,0.06065485775630703,1745,0.026838432635534086,0.013419216317767043,0.02308105206655931,0.9366612989801396
33,Worcester,596,Worcester Precinct 04-001,490,76,11,74,17,109,19,596,1,0.8221476510067114,0.12751677852348994,0.018456375838926176,0.031879194630872486,396,0.12416107382550336,0.028523489932885907,0.18288590604026847,0.6644295302013423
34,Worcester,2209,Worcester Precinct 02-001,1098,1014,56,13,9,23,41,2209,1,0.49705749207786326,0.4590312358533273,0.025350837483023993,0.018560434585785424,2164,0.005885015844273427,0.004074241738343142,0.01041195110909914,0.9796287913082843
35,Worcester,2685,Worcester Precinct 04-002,2330,275,30,14,4,31,50,2685,1,0.8677839851024208,0.10242085661080075,0.0111731843575419,0.0186219739292365,2636,0.0052141527001862194,0.0014897579143389199,0.01154562383612663,0.9817504655493482
36,Worcester,714,Worcester Precinct 02-002,560,137,8,42,20,62,9,714,1,0.7843137254901961,0.19187675070028012,0.011204481792717087,0.012605042016806723,590,0.058823529411764705,0.028011204481792718,0.08683473389355742,0.8263305322128851
37,Wicomico,2459,Wicomico Precinct 15-001,1971,406,34,20,18,50,48,2459,1,0.8015453436356242,0.1651077673851159,0.013826758845058967,0.019520130134200894,2371,0.008133387555917039,0.0073200488003253355,0.020333468889792598,0.964213094753965
38,Wicomico,2235,Wicomico Precinct 16-002,1532,543,43,6,4,10,117,2235,1,0.6854586129753915,0.24295302013422818,0.01923937360178971,0.052348993288590606,2215,0.0026845637583892616,0.0017897091722595079,0.0044742729306487695,0.9910514541387024
39,Wicomico,2655,Wicomico Precinct 08-004,2377,139,43,35,20,66,96,2655,1,0.8952919020715631,0.052354048964218455,0.016195856873822974,0.03615819209039548,2534,0.013182674199623353,0.007532956685499058,0.024858757062146894,0.9544256120527307
