race,AG14D,AG14R,AG14None
WVAP,0.2021 (0.1806-0.223),0.1168 (0.1077-0.1263),0.6811 (0.6596-0.7031)
OVAP,0.2371 (0.226-0.248),0.0069 (0.0047-0.0097),0.756 (0.7448-0.767)
