race,SEN12D,SEN12R,SEN12None
WVAP,0.3534 (0.3251-0.3822),0.0739 (0.0627-0.0856),0.5727 (0.5438-0.601)
BVAP,0.4419 (0.4309-0.4529),0.0035 (0.0022-0.0052),0.5546 (0.5437-0.5656)
HVAP,0.0697 (0.0248-0.1324),0.0868 (0.0469-0.1299),0.8435 (0.7663-0.9082)
OVAP,0.1585 (0.063-0.2804),0.1676 (0.124-0.2124),0.674 (0.5573-0.7749)
