race,PRES12D,PRES12R,PRES12None
WVAP,0.3358 (0.305-0.3657),0.1806 (0.1697-0.1918),0.4836 (0.4544-0.5143)
OVAP,0.5037 (0.4905-0.5172),0.0051 (0.0032-0.0077),0.4912 (0.4775-0.504)
