race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0512 (0.0438-0.0591),0.005 (0.0031-0.0075),0.9439 (0.9356-0.9516)
OVAP,0.0695 (0.0666-0.0726),0.0217 (0.0207-0.0226),0.9088 (0.9056-0.9118)
