race,AG14D,AG14R,AG14None
WVAP,0.2263 (0.2031-0.2501),0.0857 (0.0743-0.0975),0.688 (0.6629-0.713)
BVAP,0.2487 (0.2364-0.261),0.0058 (0.0036-0.0085),0.7456 (0.733-0.7581)
HVAP,0.0569 (0.023-0.1117),0.0834 (0.0492-0.1247),0.8597 (0.7939-0.9141)
OVAP,0.1251 (0.048-0.2363),0.1011 (0.0579-0.1469),0.7738 (0.6549-0.8629)
