race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0839 (0.0757-0.0927),0.029 (0.0236-0.035),0.0184 (0.0138-0.0234),0.0062 (0.0042-0.0088),0.0409 (0.0349-0.0476),0.8217 (0.809-0.8339)
BVAP,0.0648 (0.0614-0.0683),0.0347 (0.0322-0.0372),0.0065 (0.0053-0.0079),0.0012 (0.0008-0.0017),0.0259 (0.0237-0.0283),0.8669 (0.8622-0.8716)
HVAP,0.0195 (0.0059-0.0382),0.0177 (0.0067-0.0342),0.0132 (0.0056-0.0252),0.0092 (0.0036-0.018),0.0138 (0.0051-0.0266),0.9265 (0.8938-0.9528)
OVAP,0.0387 (0.0133-0.0741),0.029 (0.0103-0.0531),0.0645 (0.0372-0.0921),0.0566 (0.0439-0.0684),0.036 (0.0142-0.0649),0.7752 (0.7213-0.8258)
