race,SEN18D,SEN18R,SEN18None
WVAP,0.3897 (0.3526-0.4238),0.0666 (0.0548-0.0792),0.5437 (0.5089-0.581)
BVAP,0.3173 (0.3007-0.3339),0.0066 (0.0038-0.0105),0.6761 (0.6594-0.6925)
HVAP,0.0956 (0.0347-0.1778),0.0875 (0.0408-0.1386),0.8169 (0.7072-0.8934)
OVAP,0.2342 (0.123-0.4008),0.1493 (0.1007-0.1936),0.6165 (0.4569-0.7404)
