race,GOV18D,GOV18R,GOV18None
WVAP,0.2652 (0.233-0.299),0.2761 (0.248-0.3042),0.4587 (0.4241-0.4945)
OVAP,0.2506 (0.2376-0.2638),0.0538 (0.0463-0.0621),0.6957 (0.6812-0.7091)
