race,AG18D,AG18R,AG18None
WVAP,0.3865 (0.3476-0.4237),0.0925 (0.0774-0.1097),0.5211 (0.4849-0.5593)
BVAP,0.3161 (0.2998-0.3328),0.008 (0.0049-0.012),0.6759 (0.659-0.6921)
HVAP,0.1147 (0.0499-0.2058),0.1149 (0.062-0.1766),0.7703 (0.65-0.8595)
OVAP,0.1911 (0.0819-0.3166),0.3181 (0.2487-0.3867),0.4908 (0.3655-0.608)
