race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0777 (0.0696-0.0862),0.0272 (0.022-0.0327),0.0248 (0.0207-0.029),0.0151 (0.0122-0.0182),0.0409 (0.0356-0.0467),0.8144 (0.8024-0.8256)
OVAP,0.0624 (0.0595-0.0656),0.0333 (0.0312-0.0356),0.0077 (0.0066-0.009),0.0023 (0.0017-0.0031),0.0253 (0.0234-0.0273),0.8689 (0.8645-0.8729)
