race,GOV14D,GOV14R,GOV14None
WVAP,0.1625 (0.1402-0.1843),0.1873 (0.1711-0.2036),0.6502 (0.6245-0.6751)
OVAP,0.2385 (0.2276-0.2499),0.0149 (0.0112-0.0192),0.7466 (0.735-0.758)
