race,SEN16D,SEN16R,SEN16None
WVAP,0.3984 (0.3547-0.4413),0.1116 (0.0946-0.1303),0.49 (0.4467-0.5328)
BVAP,0.4148 (0.395-0.4346),0.0091 (0.0054-0.014),0.5761 (0.5566-0.5954)
HVAP,0.267 (0.1383-0.4129),0.1901 (0.1149-0.273),0.5429 (0.3903-0.6873)
OVAP,0.3114 (0.1668-0.4601),0.3338 (0.2534-0.4085),0.3548 (0.2253-0.4916)
