race,PRES16D,PRES16R,PRES16None
WVAP,0.3897 (0.3534-0.4252),0.1772 (0.1631-0.1911),0.4331 (0.3984-0.47)
OVAP,0.4196 (0.4006-0.4388),0.0101 (0.0062-0.0152),0.5704 (0.5511-0.5894)
