race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0856 (0.0765-0.095),0.0145 (0.0103-0.0194),0.0386 (0.032-0.0455),0.8613 (0.8491-0.8728)
OVAP,0.0526 (0.0494-0.0558),0.031 (0.029-0.0331),0.0463 (0.0436-0.049),0.8701 (0.8656-0.8746)
