race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0554 (0.0471-0.064),0.0047 (0.0029-0.0071),0.9399 (0.9309-0.9485)
BVAP,0.0725 (0.0691-0.0759),0.0229 (0.0214-0.0245),0.9046 (0.901-0.9083)
HVAP,0.0181 (0.0079-0.0338),0.0111 (0.0053-0.0198),0.9709 (0.9514-0.9841)
OVAP,0.0558 (0.015-0.106),0.0228 (0.0112-0.0364),0.9214 (0.8684-0.9633)
