race,PRES16D,PRES16R,PRES16None
WVAP,0.4002 (0.3571-0.4421),0.1042 (0.0875-0.1212),0.4957 (0.4532-0.5389)
BVAP,0.4307 (0.4101-0.4515),0.0092 (0.0052-0.0146),0.5601 (0.5396-0.5811)
HVAP,0.2418 (0.1238-0.3785),0.1748 (0.113-0.2445),0.5834 (0.4402-0.7159)
OVAP,0.5052 (0.3616-0.6494),0.1793 (0.1231-0.2381),0.3155 (0.1868-0.4478)
