race,COMP18D,COMP18R,COMP18None
WVAP,0.3647 (0.334-0.3943),0.1321 (0.1184-0.1459),0.5032 (0.4729-0.5338)
OVAP,0.3052 (0.2909-0.3207),0.01 (0.0068-0.0142),0.6848 (0.6694-0.6993)
