race,SEN12D,SEN12R,SEN12None
WVAP,0.294 (0.2689-0.3199),0.1146 (0.1029-0.1271),0.5914 (0.5643-0.6165)
OVAP,0.4219 (0.4112-0.4324),0.0069 (0.0048-0.0093),0.5713 (0.5606-0.582)
