race,COMP14D,COMP14R,COMP14None
WVAP,0.2259 (0.2039-0.2489),0.1114 (0.0999-0.1228),0.6627 (0.6386-0.6862)
OVAP,0.2426 (0.2316-0.254),0.0111 (0.0082-0.0149),0.7463 (0.7345-0.7575)
