race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0365 (0.0299-0.0438),0.0354 (0.03-0.0415),0.0743 (0.0665-0.0823),0.8538 (0.8426-0.8651)
OVAP,0.0899 (0.0863-0.0934),0.0194 (0.0174-0.0215),0.0258 (0.0234-0.0283),0.8649 (0.8603-0.8694)
