race,SEN18D,SEN18R,SEN18None
WVAP,0.3607 (0.3307-0.3905),0.1158 (0.1053-0.1269),0.5235 (0.4934-0.5531)
OVAP,0.3065 (0.2916-0.3216),0.0074 (0.0046-0.0109),0.6861 (0.6708-0.7013)
