race,PRES12D,PRES12R,PRES12None
WVAP,0.384 (0.3504-0.4182),0.1412 (0.1268-0.1546),0.4748 (0.4408-0.5095)
BVAP,0.5237 (0.5101-0.5376),0.0042 (0.0025-0.0064),0.4721 (0.4586-0.4855)
HVAP,0.1023 (0.0416-0.1787),0.091 (0.0461-0.1387),0.8067 (0.7072-0.8878)
OVAP,0.3885 (0.2172-0.5713),0.0851 (0.0473-0.1352),0.5265 (0.3427-0.6888)
