race,AG18D,AG18R,AG18None
WVAP,0.3529 (0.3211-0.3862),0.158 (0.1423-0.1739),0.4891 (0.4563-0.5224)
OVAP,0.3059 (0.2911-0.321),0.0131 (0.0092-0.0179),0.681 (0.6657-0.6962)
