race,SEN16D,SEN16R,SEN16None
WVAP,0.3749 (0.3385-0.4108),0.1964 (0.1787-0.214),0.4287 (0.3922-0.4642)
OVAP,0.4015 (0.3836-0.4195),0.0138 (0.0094-0.019),0.5847 (0.5663-0.6026)
