race,COMP14D,COMP14R,COMP14None
WVAP,0.2521 (0.227-0.2771),0.0711 (0.0595-0.0837),0.6767 (0.6506-0.7036)
BVAP,0.2549 (0.2424-0.2686),0.0063 (0.004-0.0096),0.7387 (0.7252-0.7515)
HVAP,0.0649 (0.0226-0.1313),0.0743 (0.0308-0.1197),0.8608 (0.7758-0.9218)
OVAP,0.115 (0.0512-0.2051),0.2567 (0.1897-0.32),0.6283 (0.5181-0.7256)
