race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0877 (0.078-0.0971),0.0118 (0.0077-0.0168),0.0406 (0.0338-0.0478),0.86 (0.8477-0.8721)
BVAP,0.0541 (0.0508-0.0576),0.0307 (0.0283-0.0332),0.0477 (0.0447-0.0508),0.8676 (0.8626-0.8726)
HVAP,0.0197 (0.006-0.0383),0.0161 (0.0066-0.0314),0.029 (0.0126-0.0521),0.9352 (0.9015-0.9657)
OVAP,0.0511 (0.022-0.0997),0.0728 (0.0392-0.1128),0.0384 (0.016-0.0739),0.8377 (0.7669-0.8914)
