race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1759 (0.1576-0.1946),0.0746 (0.0604-0.0911),0.7495 (0.7273-0.7717)
OVAP,0.0735 (0.0672-0.0801),0.1699 (0.1622-0.1777),0.7566 (0.7473-0.7659)
