race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0646 (0.0501-0.0799),0.0085 (0.0047-0.0138),0.0248 (0.015-0.0365),0.9021 (0.8822-0.9202)
BVAP,0.0245 (0.0213-0.0277),0.0511 (0.0492-0.0528),0.0222 (0.0192-0.0251),0.9022 (0.8976-0.907)
HVAP,0.0126 (0.0048-0.0227),0.005 (0.0027-0.0085),0.0137 (0.0065-0.0238),0.9686 (0.9537-0.9802)
OVAP,0.0374 (0.015-0.0713),0.0132 (0.0063-0.0238),0.0381 (0.0148-0.0709),0.9113 (0.8652-0.9502)
