race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0353 (0.0237-0.0493),0.0294 (0.0194-0.0393),0.0207 (0.0149-0.0276),0.9146 (0.8975-0.9309)
BVAP,0.0961 (0.0917-0.1),0.0114 (0.0092-0.0137),0.0017 (0.0011-0.0026),0.8908 (0.8863-0.8956)
HVAP,0.0087 (0.0042-0.0156),0.0105 (0.005-0.0185),0.0059 (0.0031-0.0101),0.9749 (0.9632-0.984)
OVAP,0.0175 (0.0072-0.0375),0.0339 (0.0172-0.0558),0.0417 (0.0284-0.0543),0.907 (0.8746-0.9333)
