race,SEN12D,SEN12R,SEN12None
WVAP,0.2133 (0.1738-0.2552),0.1872 (0.1783-0.1955),0.5995 (0.5571-0.6404)
OVAP,0.3575 (0.3478-0.3668),0.0027 (0.0018-0.0039),0.6398 (0.6306-0.6495)
