race,COMP18D,COMP18R,COMP18None
WVAP,0.2297 (0.1869-0.2698),0.1776 (0.1609-0.1932),0.5927 (0.5517-0.636)
OVAP,0.2681 (0.2597-0.2771),0.0053 (0.0036-0.0074),0.7266 (0.7173-0.7351)
