race,AG14D,AG14R,AG14None
WVAP,0.1922 (0.1538-0.2343),0.1317 (0.112-0.1533),0.6761 (0.6341-0.718)
BVAP,0.2604 (0.2489-0.2709),0.0033 (0.0021-0.0049),0.7362 (0.7257-0.7479)
HVAP,0.0324 (0.0162-0.0561),0.0155 (0.0083-0.025),0.9521 (0.9254-0.9718)
OVAP,0.0908 (0.0303-0.1735),0.078 (0.0403-0.1123),0.8311 (0.7495-0.9007)
