race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0726 (0.055-0.0916),0.0091 (0.0052-0.015),0.9182 (0.898-0.9363)
BVAP,0.0521 (0.048-0.0562),0.0433 (0.0416-0.0448),0.9045 (0.9001-0.9089)
HVAP,0.0087 (0.0041-0.0162),0.006 (0.0031-0.0103),0.9853 (0.976-0.9917)
OVAP,0.0345 (0.0128-0.0671),0.0115 (0.0054-0.0216),0.954 (0.9188-0.9779)
