race,AG18D,AG18R,AG18None
WVAP,0.2856 (0.2425-0.329),0.1101 (0.09-0.1313),0.6043 (0.5596-0.6484)
BVAP,0.3225 (0.3084-0.3352),0.0032 (0.002-0.0047),0.6743 (0.6616-0.6885)
HVAP,0.0594 (0.025-0.1021),0.016 (0.0087-0.026),0.9245 (0.8818-0.9596)
OVAP,0.102 (0.0301-0.2128),0.1272 (0.0872-0.1666),0.7708 (0.6571-0.8544)
