race,GOV18D,GOV18R,GOV18None
WVAP,0.1669 (0.1223-0.2134),0.2494 (0.2091-0.2872),0.5837 (0.5335-0.6331)
BVAP,0.2683 (0.2559-0.281),0.0522 (0.0451-0.0593),0.6794 (0.6662-0.6921)
HVAP,0.0601 (0.0305-0.1002),0.0267 (0.0137-0.0454),0.9132 (0.8699-0.947)
OVAP,0.1738 (0.0462-0.3162),0.0928 (0.0316-0.1924),0.7334 (0.5912-0.863)
