race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.047 (0.0359-0.0593),0.0031 (0.0019-0.0045),0.0082 (0.0044-0.0128),0.0039 (0.0024-0.0058),0.0641 (0.0502-0.0786),0.8738 (0.855-0.8924)
BVAP,0.056 (0.0528-0.0592),0.0006 (0.0004-0.0009),0.0022 (0.0015-0.0031),0.0007 (0.0005-0.0011),0.0711 (0.0673-0.0748),0.8693 (0.8642-0.8743)
HVAP,0.0068 (0.0031-0.0131),0.0028 (0.0016-0.0045),0.0037 (0.002-0.0063),0.0032 (0.0018-0.0051),0.007 (0.0028-0.0141),0.9766 (0.9665-0.9844)
OVAP,0.0183 (0.0055-0.0355),0.014 (0.0102-0.0177),0.032 (0.0205-0.0427),0.0184 (0.0138-0.0226),0.0132 (0.0029-0.0295),0.9041 (0.8783-0.9301)
