race,GOV14D,GOV14R,GOV14None
WVAP,0.126 (0.0934-0.1628),0.2324 (0.2192-0.2446),0.6416 (0.6038-0.6766)
OVAP,0.2221 (0.2142-0.2299),0.0045 (0.0031-0.0064),0.7734 (0.7656-0.7813)
