race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1442 (0.1149-0.1728),0.0514 (0.0298-0.0749),0.8044 (0.7697-0.838)
BVAP,0.0382 (0.0327-0.0437),0.1409 (0.1344-0.1475),0.821 (0.8122-0.8293)
HVAP,0.0205 (0.0093-0.0361),0.014 (0.006-0.0271),0.9655 (0.9463-0.9801)
OVAP,0.0827 (0.032-0.152),0.0521 (0.0184-0.0968),0.8652 (0.7823-0.9322)
